fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1666,car,0.46,227,981,304,1076,342,N/A,0.0,0,0,0,0,N/A
1666,person,0.53,214,1709,326,1750,407,N/A,0.0,0,0,0,0,N/A
1666,car,0.44,229,981,300,1049,339,N/A,0.0,0,0,0,0,N/A
1667,car,0.91,198,0,239,507,968,N/A,0.0,0,0,0,0,N/A
1667,car,0.79,208,1242,286,1466,483,matricula,0.55,1349,426,1405,441,8685
1667,car,0.55,187,1440,323,1513,379,N/A,0.0,0,0,0,0,N/A
1667,car,0.79,217,1082,307,1181,384,N/A,0.0,0,0,0,0,N/A
1667,car,0.45,227,981,304,1073,342,N/A,0.0,0,0,0,0,N/A
1667,person,0.57,214,1710,327,1751,407,N/A,0.0,0,0,0,0,N/A
1667,car,0.43,229,981,300,1049,338,N/A,0.0,0,0,0,0,N/A
