fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
85,persona,0.16318549,1,269,229,303,319,0,,,,,,
85,persona,0.61702174,2,389,242,417,302,0,,,,,,
85,persona,0.30939206,6,268,229,322,323,0,,,,,,
86,persona,0.17438447,1,269,229,304,320,0,,,,,,
86,persona,0.54038227,2,389,242,417,303,0,,,,,,
86,persona,0.32932323,6,268,230,322,323,0,,,,,,
86,persona,0.4085694,7,383,241,407,302,0,,,,,,
87,persona,0.1680841,1,269,230,305,321,0,,,,,,
87,persona,0.5101101,2,390,242,417,304,0,,,,,,
87,persona,0.33022642,6,268,230,323,323,0,,,,,,
87,persona,0.38836926,7,383,241,409,304,0,,,,,,
88,persona,0.18115708,1,269,230,305,321,0,,,,,,
88,persona,0.4953065,2,387,241,417,306,0,,,,,,
88,persona,0.33653748,6,268,230,325,323,0,,,,,,
89,persona,0.19157697,1,269,229,306,322,0,,,,,,
89,persona,0.4993595,2,388,241,418,306,0,,,,,,
89,persona,0.33998197,6,268,229,325,323,0,,,,,,
90,persona,0.17769322,1,269,229,306,322,0,,,,,,
90,persona,0.50839376,2,389,241,418,306,0,,,,,,
90,persona,0.32455814,6,268,229,326,323,0,,,,,,
90,persona,0.3090861,7,382,241,414,305,0,,,,,,
91,persona,0.1688318,1,268,229,307,322,0,,,,,,
91,persona,0.306342,6,268,230,326,323,0,,,,,,
91,persona,0.41938174,7,384,242,417,305,0,,,,,,
92,persona,0.13110738,1,268,230,306,321,0,,,,,,
92,persona,0.2571865,6,268,230,327,323,0,,,,,,
92,persona,0.32210797,7,386,242,419,305,0,,,,,,
93,persona,0.15084606,1,268,230,304,321,0,,,,,,
93,persona,0.260364,6,268,230,326,323,0,,,,,,
93,persona,0.28022504,7,384,243,419,305,0,,,,,,
93,persona,0.38243577,2,394,243,419,305,0,,,,,,
94,persona,0.1453904,1,269,230,303,320,0,,,,,,
94,persona,0.25648773,6,268,230,323,323,0,,,,,,
94,persona,0.2444355,7,383,243,419,305,0,,,,,,
94,persona,0.42651552,9,381,241,401,304,0,,,,,,
94,persona,0.39609993,2,396,244,419,305,0,,,,,,
95,persona,0.1977941,1,268,229,303,320,0,,,,,,
95,persona,0.29388794,6,268,229,318,323,0,,,,,,
95,persona,0.322237,7,382,243,420,305,0,,,,,,
95,persona,0.44789377,9,381,242,400,304,0,,,,,,
95,persona,0.51120245,2,397,244,419,305,0,,,,,,
96,persona,0.20377916,1,268,229,303,320,0,,,,,,
96,persona,0.29828206,6,268,229,319,323,0,,,,,,
96,persona,0.2377673,7,384,242,421,305,0,,,,,,
96,persona,0.43323338,9,380,241,398,304,0,,,,,,
96,persona,0.5683439,2,397,244,419,305,0,,,,,,
97,persona,0.27500862,1,268,229,301,321,0,,,,,,
97,persona,0.11847912,6,268,229,323,323,0,,,,,,
97,persona,0.15711175,7,382,242,413,306,0,,,,,,
97,persona,0.37215713,9,378,241,397,305,0,,,,,,
97,persona,0.4482903,2,397,243,421,305,0,,,,,,
98,persona,0.28144825,1,267,229,301,321,0,,,,,,
98,persona,0.1587542,6,268,229,323,323,0,,,,,,
98,persona,0.20700285,7,383,242,419,306,0,,,,,,
98,persona,0.5044246,9,378,241,398,305,0,,,,,,
98,persona,0.54732835,2,398,243,421,305,0,,,,,,
99,persona,0.27494758,1,267,229,300,321,0,,,,,,
99,persona,0.16871624,6,269,229,322,323,0,,,,,,
99,persona,0.22054173,7,383,241,421,306,0,,,,,,
99,persona,0.54677,9,378,242,398,304,0,,,,,,
